""
"Our Lady of Perpetual Help Grade School in Concordia, Kansas"
"St. Mary's Catholic High School in Grand Island, Nebraska"
"Nazareth Academy in Concordia, Kansas"
"Kansas State University-Newman Center in Manhattan, Kansas"
"Vietnamese Center in Salina, Kansas"
"L'Arche in Overland Park, Kansas"
"St. Joseph's School in Lake Linden, Michigan"
"Rulo, Nebraska"
"Central Catholic High School Library in Grand Island, Nebraska"
"St. Mary's Grade School in Salina, Kansas"
"Herington, Kansas"
"Manhattanville College in Purchase, New York"
"St. Joseph's Sanatorium in El Paso, Texas"
"Aurora, Kansas"
"U.S. Professional Development Institute in Silver Spring, Maryland"
"Lincoln School in Concordia, Kansas"
"Paris, Texas"
"St. Vincent de Paul Parish in Andover, Kansas"
"VA Medical Center in Grand Island, Nebraska"
"St. John's High School in Beloit, Kansas"
"Justice and Peace Office in Salina, Kansas"
"Kansas"
"Salina Regional Health Care Penn Campus in Salina, Kansas"
"Salina Diocesan Marriage Tribunal in Salina, Kansas"
"Douglasville, Georgia"
"Albany State College in Albany, Georgia"
"St. Thomas Manor in East Point, Georgia"
"Marian House in Salina, Kansas"
"Home for women & children in Junction City, Kansas"
"Good Samaritan Center Nursing Home in Minneapolis, Kansas"
"Hammond, Wisconsin"
"Our Lady of Perpetual Help School in Concordia, Kansas"
"Ellsworth, Kansas"
"St. Louis Parish in Kansas City, Missouri"
"St. Xavier's High School in Junction City, Kansas"
"St. Boniface Grade School in Tipton, Kansas"
"Seven Dolors High School in Manhattan, Kansas"
"Richmond, Wisconsin"
"Home of the Little Flower in Concordia, Kansas"
"Aurora High School in Aurora, Kansas"
"Charlotte Swift Memorial Hospital (St. Mary Hospital) in Manhattan, Kansas"
"Danville, Kansas"
"St. Michael's in Fairbury, Nebraska"
"Wakefield, Kansas"
"Fontbonne Hall in St. Louis, Missouri"
"St. Mary's Spirituality Center in Silver City, New Mexico"
"County Medical Hospital in Las Cruces, New Mexico"
"Valley Hope Alcohol Treatment Center in Parker, Colorado"
"Life Planning and Resource Services"
"St. Francis Hospital in Topeka, Kansas"
"Silver City, New Mexico"
"Christ of the King Parish Food Pantry in Kansas City, Missouri"
"Anthony's School in St. Peter, Kansas"
